Iteration,MAE,RMSE,CVRMSE,WI,NSE
1,0.051034154834209824,0.1810530233946856,129.94558413167744,0.5653796098225992,0.18990996940918414
2,0.05339404391958997,0.18427793903561854,132.26017429360405,0.5486737921488338,0.16079431444067538
3,0.04834241415474838,0.1827265945171249,131.1467415220028,0.5728737081286961,0.17486455132302337
4,0.04951722120476907,0.18108721161617858,129.9701217413181,0.5716296790376327,0.1896040021102311
5,0.04780477182592123,0.17959943927753289,128.90231606773477,0.5837247208864187,0.20286536848882963
6,0.04707068947799312,0.1780163937150996,127.76613078642623,0.5877057909790937,0.2168558247372968
7,0.05879198327289865,0.18449364897110493,132.4149938765319,0.5239565251465759,0.15882846919282723
8,0.053525146299390376,0.18242898114785658,130.9331381124057,0.5468628746706877,0.17755021791905512
9,0.044386653864202236,0.17992611616742282,129.13677898077063,0.5988688204820782,0.19996288403167084
10,0.04995418617227226,0.1806536957871508,129.65897826203724,0.5661782621902018,0.19347947147163358
